0.15	12.26	-39.93
-0.58	12.34	-40.00
-1.10	12.26	-39.86
-2.12	12.77	-39.27
-2.85	12.56	-39.13
-3.94	12.85	-39.13
-4.38	12.56	-38.84
-5.33	12.56	-38.54
-6.42	12.56	-38.54
-6.72	12.70	-38.25
-7.45	12.41	-38.11
-8.03	12.26	-38.03
-8.47	12.19	-38.03
-8.61	12.05	-37.67
-9.20	11.83	-37.52
-9.56	11.53	-37.45
-9.93	11.53	-37.23
-10.15	11.31	-37.08
-10.66	11.02	-37.01
-11.10	10.80	-36.72
-11.24	10.66	-36.86
-11.53	10.59	-36.65
-12.12	10.59	-36.57
-11.97	10.29	-36.35
-12.26	10.07	-36.28
-12.26	9.64	-36.43
-12.48	9.27	-36.21
-12.63	9.42	-36.21
-12.85	9.13	-36.06
-13.14	8.98	-35.99
-12.92	8.83	-35.70
-12.99	8.76	-35.84
-13.21	8.54	-35.92
-13.07	8.54	-35.62
-12.99	8.25	-35.77
-13.07	7.96	-35.62
-12.92	7.74	-35.70
-12.92	7.59	-35.70
-13.07	7.30	-35.77
-12.63	7.23	-35.84
-12.63	6.94	-35.77
-12.48	6.72	-35.70
-12.41	6.72	-35.62
-12.12	6.42	-35.84
-11.90	6.06	-35.70
-11.75	5.91	-35.92
-11.53	5.77	-36.21
-11.02	5.40	-36.21
-10.88	5.11	-36.21
-10.44	4.89	-36.57
-10.15	4.67	-36.43
-9.34	4.01	-36.65
-8.98	3.72	-37.01
-8.25	3.50	-37.01
-7.45	3.21	-37.23
-7.08	2.99	-37.60
-6.42	2.63	-37.89
-5.33	2.41	-37.96
-4.38	2.48	-38.25
-3.28	2.41	-38.76
-1.90	2.19	-38.91
-1.02	2.19	-39.35
0.15	2.41	-39.79
1.31	2.56	-39.93
2.41	3.21	-40.22
3.14	3.50	-40.59
4.31	4.31	-40.59
5.04	4.82	-41.03
5.48	5.77	-41.32
5.77	6.64	-41.25
5.77	7.59	-41.17
5.77	8.25	-41.17
5.48	9.27	-41.25
4.67	10.15	-41.03
3.80	10.80	-40.88
3.28	10.95	-40.66
2.41	11.46	-40.66
1.46	11.68	-40.22
0.51	11.90	-39.93
-0.58	12.56	-39.79
-1.68	12.70	-39.57
-2.63	12.77	-39.27
-3.50	12.92	-39.13
-4.45	12.63	-38.91
-5.33	12.56	-38.69
-6.13	12.63	-38.33
-7.08	12.48	-38.33
-7.37	12.26	-38.11
-8.18	12.05	-37.89
-8.47	12.12	-37.89
-9.27	11.97	-37.38
-9.71	11.61	-37.16
-10.00	11.39	-37.16
-10.44	11.17	-37.16
-11.10	11.02	-36.94
-11.39	10.95	-37.01
-11.46	10.88	-36.65
-11.90	10.51	-36.50
-11.97	10.37	-36.50
-12.12	10.07	-36.35
-12.19	9.93	-36.35
-12.34	9.78	-36.35
-12.70	9.56	-36.06
-12.70	9.34	-35.92
-13.14	8.83	-35.99
-12.85	9.13	-35.92
-13.07	8.61	-35.92
-12.99	8.61	-35.99
-13.14	8.32	-35.77
-13.07	8.32	-35.84
-12.92	8.03	-35.84
-13.21	7.96	-35.84
-12.99	7.59	-35.84
-12.85	7.45	-35.62
-12.70	7.15	-35.77
-12.92	7.08	-35.77
-12.34	6.64	-35.77
-12.41	6.35	-35.62
-12.12	6.35	-35.70
-11.97	6.06	-35.84
-11.83	6.06	-35.99
-11.53	5.77	-35.99
-11.24	5.40	-36.06
-10.80	5.33	-36.57
-10.44	4.96	-36.28
-9.93	4.53	-36.57
-9.49	4.23	-36.65
-8.98	3.87	-36.86
-8.25	3.72	-36.72
-8.03	3.28	-37.30
-7.01	2.85	-37.52
-6.13	2.77	-37.81
-5.18	2.70	-38.18
-4.38	2.26	-38.47
-3.28	2.12	-38.84
-2.41	2.04	-39.13
-0.95	2.19	-39.57
0.22	2.26	-39.57
1.61	2.77	-39.93
2.34	2.85	-40.22
3.28	3.65	-40.52
4.01	4.38	-40.88
4.96	4.82	-40.95
5.33	5.91	-41.03
5.77	6.94	-41.25
5.77	7.59	-41.25
5.48	8.25	-41.46
4.96	9.20	-41.39
4.60	10.07	-40.88
3.94	10.51	-40.88
2.99	11.10	-40.59
2.19	11.61	-40.44
1.10	11.97	-40.30
0.07	12.34	-40.00
-0.80	12.41	-39.71
-1.90	12.63	-39.42
-2.85	12.70	-39.35
-3.72	12.77	-39.27
-4.82	12.77	-38.62
-5.26	12.56	-38.54
-6.42	12.41	-38.40
-6.72	12.26	-38.03
-7.52	12.41	-38.11
-8.18	12.26	-37.74
-8.61	12.19	-37.74
-9.34	11.83	-37.45
-9.71	11.90	-37.45
-10.15	11.53	-37.16
-10.51	11.24	-37.23
-10.80	11.24	-36.79
-11.17	11.10	-36.86
-11.53	10.73	-36.72
-11.53	10.51	-36.57
-12.26	10.22	-36.65
-12.19	10.15	-36.35
-12.41	10.00	-36.13
-12.63	9.64	-36.13
-12.77	9.56	-36.21
-12.77	9.27	-35.99
-12.85	9.05	-36.13
-13.07	8.91	-36.06
-12.85	8.98	-36.06
-12.99	8.69	-35.92
-13.43	8.32	-35.70
-13.21	8.25	-35.99
-12.99	8.18	-35.70
-12.99	7.88	-35.77
-12.77	7.45	-35.70
-12.63	7.45	-35.48
-12.70	7.30	-35.77
-12.70	7.08	-35.77
-12.34	6.64	-35.92
-12.41	6.64	-35.92
-12.26	6.35	-35.92
-12.05	6.13	-36.06
-11.90	5.91	-35.92
-11.61	5.77	-36.13
-11.17	5.62	-36.13
-10.80	5.18	-36.43
-10.44	4.96	-36.50
-9.93	4.53	-36.65
-9.42	4.23	-36.65
-8.83	4.09	-36.79
-8.18	3.80	-36.94
-7.96	3.50	-37.08
-7.45	3.21	-37.38
-6.64	3.14	-37.81
-5.84	2.85	-37.81
-4.96	2.48	-38.25
-4.16	2.26	-38.40
-3.14	2.04	-38.62
-2.34	2.04	-38.84
-1.10	2.34	-39.20
-0.29	1.97	-39.35
0.44	2.41	-39.71
1.10	2.63	-39.86
2.12	2.85	-40.00
3.14	3.36	-40.37
3.50	3.43	-40.52
4.38	3.94	-40.81
4.60	4.23	-40.66
5.11	4.96	-40.88
5.26	5.18	-41.10
5.55	5.84	-41.10
5.99	6.06	-41.17
5.84	6.50	-41.17
5.84	6.86	-41.32
5.62	7.08	-41.32
5.62	7.23	-41.32
5.91	7.74	-41.32
5.33	7.74	-41.17
5.40	7.67	-41.03
5.18	7.67	-41.32
5.40	8.18	-41.39
